oferta_id,nombre_oferta,tipo_oferta,cargo_fijo,descuento_porcentaje,precio_promocional,velocidad_mbps,gigas_datos,descripcion,activo
1,Fibra Óptica 100 Mbps,FIBRA,69.9,0.0,69.9,100,,Internet simétrico para hogar 100 Mbps,1
2,Fibra Óptica 200 Mbps Promo,FIBRA,89.9,15.0,76.4,200,,Internet simétrico 200 Mbps con 15% de descuento,1
3,Fibra Óptica 300 Mbps Gamer,FIBRA,109.9,10.0,98.9,300,,Baja latencia y ultra velocidad simétrica,1
4,Fibra Óptica 500 Mbps Pro,FIBRA,139.9,20.0,111.9,500,,Alta velocidad para hogares multi-dispositivo,1
5,Fibra Óptica 1000 Mbps Giga,FIBRA,199.9,25.0,149.9,1000,,Máxima velocidad para streaming 4K y gaming extremo,1
6,Móvil Ilimitado Básico 40GB,MOVIL,39.9,0.0,39.9,,40,Minutos y SMS ilimitados + 40GB en alta velocidad,1
7,Móvil Ilimitado Plus 65GB,MOVIL,55.9,10.0,50.3,,65,Minutos ilimitados + 65GB + Roaming internacional,1
8,Móvil Ilimitado Total 100GB,MOVIL,69.9,15.0,59.4,,100,Minutos ilimitados + 100GB + Apps ilimitadas,1
9,Móvil Ilimitado Ultra 5G,MOVIL,89.9,20.0,71.9,,999,Gigas ilimitados en red 5G con tethering full,1
10,Movistar Total Dúo 200 Mbps + 1 Línea,MOVISTAR_TOTAL,129.9,15.0,110.4,200,65,Fibra 200 Mbps + Móvil 65GB en un solo recibo,1
11,Movistar Total Dúo 300 Mbps + 2 Líneas,MOVISTAR_TOTAL,169.9,20.0,135.9,300,100,Fibra 300 Mbps + 2 Líneas móviles compartidas,1
12,Movistar Total Dúo 500 Mbps + 3 Líneas,MOVISTAR_TOTAL,219.9,25.0,164.9,500,150,Fibra 500 Mbps + 3 Líneas ilimitadas,1
13,Movistar Total Trío 300 Mbps + TV + Móvil,MOVISTAR_TOTAL,199.9,15.0,169.9,300,65,Fibra 300 Mbps + Movistar TV Estándar + 1 Línea Móvil,1
14,Movistar Total Trío 500 Mbps + TV HD + 2 Líneas,MOVISTAR_TOTAL,259.9,20.0,207.9,500,100,Fibra 500 Mbps + Movistar TV HD + 2 Líneas Móviles,1
15,Movistar Total Trío 1000 Mbps + TV Estelar + 3 Líneas,MOVISTAR_TOTAL,349.9,25.0,262.4,1000,200,Fibra 1Gbps + TV Estelar Premium + 3 Líneas Full,1
16,Dúo Fibra 100 Mbps + Fijo Ilimitado,DUO,79.9,0.0,79.9,100,,Internet simétrico 100 Mbps + telefonía fija local ilimitada,1
17,Dúo Fibra 300 Mbps + Movistar TV App,DUO,119.9,10.0,107.9,300,,Internet simétrico 300 Mbps + acceso a Movistar TV App,1
18,Trío Fibra 200 Mbps + TV Estándar + Fijo,TRIO,149.9,15.0,127.4,200,,Internet 200 Mbps + Decodificador HD + Telefonía fija,1
19,Trío Fibra 500 Mbps + TV HD Premium + Fijo,TRIO,219.9,20.0,175.9,500,,Internet 500 Mbps + Pack Canales Premium + Fijo ilimitado,1
20,Plan Pyme Fibra Pro 300 Mbps con IP Fija,PYME,169.9,10.0,152.9,300,,Internet garantizado 1:1 con IP pública fija y soporte 24/7,1
21,Plan Pyme Trío 500 Mbps + 2 Líneas Fijas,PYME,279.9,15.0,237.9,500,,"Solución integral para negocios: internet, TV corporativa y telefonía",1
22,Upgrade Velocidad +100 Mbps Adicional,UPGRADE,19.9,0.0,19.9,100,,Aumento de velocidad para clientes existentes de Fibra,1
